year,total_speakers_global,total_speakers_rf,source_name,source_url
2021,,501544,Википедия,https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B3%D1%83%D1%88%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA
2025,536000,,Joshua project,https://joshuaproject.net/languages/inh
