year,total_speakers_global,total_speakers_rf,source_name,source_url
2020,,252953,Rosstat – Government Census RF,https://web.archive.org/web/20230326024701/https://rosstat.gov.ru/storage/mediabank/Tom5_tab4_VPN-2020.xlsx
2021,312194,295384,en.wikipedia.org,https://en.wikipedia.org/wiki/Tuvans
