year,total_speakers_global,total_speakers_rf,source_name,source_url
2020,,143578,Росстат,https://rosstat.gov.ru/storage/mediabank/Tom5_tab6_VPN-2020.xlsx
2025,153000,,Joshua project,https://joshuaproject.net/languages/tab
