year,total_speakers_global,total_speakers_rf,source_name,source_url
2025,45000000,,Wikipedia,https://ru.wikipedia.org/wiki/%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA
2020,33026920,,Ethnologue,https://www.ethnologue.com/language/ukr/
2020,,627106,Росстат,https://fadn.gov.ru/otkritoe-agenstvo/vserossijskaya-perepis-naseleniya-2020/
