year,total_speakers_global,total_speakers_rf,source_name,source_url
2002,,503523,2002 Russian census,https://www.perepis2002.ru/ct/html/ALL_00_08.htm
2010,,485705,2010 Russian census,http://www.gks.ru/free_doc/new_site/population/demo/per-itog/tab6.xls
2020,,362156,2020 Russian census,https://fadn.gov.ru/assets/components/fileattach/connector.php?action=web/download&ctx=web&fid=7aDWnJKRtvoZ76H9kRgaenvyjIVOAI7A
