year,,total_speakers_global,,total_speakers_rf,,source_name;source_url
2002,,5347706,realmoyevremya.ru — mass media,https://realnoevremya.ru/articles/248956-tatary-v-perepisyah-naseleniya
2010,,4471226,realmoyevremya.ru — mass media,https://realnoevremya.ru/articles/248956-tatary-v-perepisyah-naseleniya
2024,,3261000,realmoyevremya.ru — mass media,https://realnoevremya.ru/articles/307553-obzor-programmy-7-dney-na-tnv-za-21-aprelya-2024-goda
2024,,3261000,realmoyevremya.ru — mass media,https://realnoevremya.ru/articles/307553-obzor-programmy-7-dney-na-tnv-za-21-aprelya-2024-goda
2025,5844000,,Joshua project,https://joshuaproject.net/languages/tat
