year,total_speakers_global,total_speakers_rf,source_name,source_url
2010,,150000,website “Minority languages of Russia” — A project of the Institute of Linguistics (Russian Academy of Sciences),https://minlang.iling-ran.ru/lang/sibirskotatarskiy-yazyk
2025,177000,,Joshua project,https://joshuaproject.net/languages/sty
