year,total_speakers_global,total_speakers_rf,source_name,source_url
2010,,23062,Wikipedia,https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BD%D0%BE%D0%BC%D0%B0%D1%80%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA
2012,30000,,Ethnologue,https://www.ethnologue.com/18/language/mrj/
