year,total_speakers_global,total_speakers_rf,source_name,source_url
2020,,204200,Росстат,https://03.rosstat.gov.ru/storage/mediabank/IAM_vpn-2020_national_rb.pdf
2025,461000,,Joshua project,https://joshuaproject.net/languages/bxr
