letter,frequency,percent
а,5266,15.6656
и,4256,12.6610
л,2862,8.5141
р,2235,6.6488
у,1973,5.8694
ь,1833,5.4529
ц,1825,5.4291
н,1332,3.9625
б,1228,3.6531
т,1195,3.5550
к,1177,3.5014
е,1157,3.4419
в,1106,3.2902
д,755,2.2460
ҡ,675,2.0080
я,658,1.9575
ч,650,1.9337
с,425,1.2643
ж,400,1.1899
ш,393,1.1691
м,385,1.1453
й,295,0.8776
о,285,0.8478
х,285,0.8478
г,268,0.7973
ғ,215,0.6396
ҳ,166,0.4938
з,147,0.4373
п,117,0.3481
ъ,51,0.1517
