year,total_speakers_global,total_speakers_rf,source_name,source_url
2010,,33000,Wikipedia,https://en.wikipedia.org/wiki/Tsudaqar_language
2025,20000,,Joshua project,https://joshuaproject.net/people_groups/20470/RS
