year,total_speakers_global,total_speakers_rf,source_name,source_url
2002,,1325382,Government Census RF,https://perepis2002.ru/ct/doc/TOM_04_04.xls
2010,,1042989,Government Census RF,https://static.statmuseum.ru/results/2010/tom-4-natsionalnyy-sostav-i-vladenie-yazykami-grazhdanstvo-kniga-1.pdf
2021,,700222,Government Census RF,https://rosstat.gov.ru/storage/mediabank/Tom5_tab4_VPN-2020.xlsx
