year,total_speakers_global,total_speakers_rf,source_name,source_url
2010,310730,,Ethnologue,https://www.ethnologue.com/language/krc/
2020,,274038,ФАДН РФ,https://fadn.gov.ru/assets/components/fileattach/connector.php?action=web/download&ctx=web&fid=7aDWnJKRtvoZ76H9kRgaenvyjIVOAI7A
