year,total_speakers_global,total_speakers_rf,source_name,source_url
2010,,450140,Перепись-2010,http://www.gks.ru/free_doc/new_site/population/demo/per-itog/tab6.xls
2021,,378000,Дети Арктики,https://arctic-children.com/article/govorim-po-yakutski/
