"year","total_speakers_global","total_speakers_rf","source_name","source_url"
2020,,216450,"Rosstat – Government Census RF","https://web.archive.org/web/20230326024701/https://rosstat.gov.ru/storage/mediabank/Tom5_tab4_VPN-2020.xlsx"
2012,7987320,,"Ethnologue","https://web.archive.org/web/20190629071921/https://www.ethnologue.com/language/tgk"
